id,visit_date_time
376,"2023-04-27 09:30:16.355576"
377,"2023-04-27 09:30:20.235106"
378,"2023-04-27 09:30:24.885945"
379,"2023-04-27 09:30:27.386278"
380,"2023-04-27 09:30:40.888958"
381,"2023-04-27 09:30:43.685612"
382,"2023-04-27 09:31:18.355027"
383,"2023-04-27 09:35:45.098656"
384,"2023-04-27 09:47:29.257598"
385,"2023-04-27 10:15:49.775889"
386,"2023-04-27 10:16:11.434935"
387,"2023-04-27 10:16:59.522798"
388,"2023-04-27 10:17:03.011299"
389,"2023-04-27 10:17:04.988884"
390,"2023-04-27 10:17:29.067719"
391,"2023-04-27 10:29:13.593553"
392,"2023-04-27 10:34:36.086880"
393,"2023-04-27 10:36:10.081314"
394,"2023-04-27 10:36:25.871124"
395,"2023-04-27 10:36:30.681750"
396,"2023-04-27 10:36:38.105269"
397,"2023-04-27 10:36:58.493881"
398,"2023-04-27 11:16:23.074165"
399,"2023-04-27 11:16:28.335124"
400,"2023-04-27 11:47:25.500713"
401,"2023-04-27 11:47:36.296094"
402,"2023-04-27 11:47:37.880370"
403,"2023-04-27 11:47:39.202605"
404,"2023-04-27 11:47:40.916533"
405,"2023-04-27 11:48:07.282391"
406,"2023-04-27 11:48:13.412730"
407,"2023-04-27 11:48:14.418459"
408,"2023-04-27 11:48:19.322379"
409,"2023-04-27 11:48:46.128924"
410,"2023-04-27 11:49:18.821472"
411,"2023-04-27 11:49:27.828645"
412,"2023-04-27 11:50:40.774526"
413,"2023-04-27 16:13:44.805915"
414,"2023-04-27 16:21:15.102702"
415,"2023-04-28 08:54:06.082300"
416,"2023-04-28 08:54:13.992676"
417,"2023-04-28 09:10:50.310230"
418,"2023-04-28 09:10:56.291160"
419,"2023-04-28 09:14:17.611222"
420,"2023-04-28 09:15:20.123216"
421,"2023-04-28 09:23:02.492694"
422,"2023-04-28 09:23:08.819980"
423,"2023-04-28 09:24:02.948512"
424,"2023-04-28 09:28:51.052913"
425,"2023-04-28 09:29:33.581405"
426,"2023-04-28 09:29:47.227571"
427,"2023-04-28 09:42:13.677000"
428,"2023-04-28 09:51:54.231017"
429,"2023-04-28 09:55:03.873471"
430,"2023-04-28 10:50:07.671800"
431,"2023-04-28 10:50:55.056867"
432,"2023-04-28 10:51:13.412324"
433,"2023-04-28 11:17:37.591074"
434,"2023-04-28 11:17:46.960846"
435,"2023-04-28 11:18:15.132313"
436,"2023-04-28 11:50:34.574322"
437,"2023-04-28 11:54:40.252408"
438,"2023-04-28 13:03:17.977961"
439,"2023-04-28 13:16:33.752807"
440,"2023-04-28 13:16:41.926969"
441,"2023-04-28 13:19:13.411100"
442,"2023-04-28 13:32:30.388384"
443,"2023-04-28 13:36:16.826466"
444,"2023-04-28 13:36:31.952477"
445,"2023-04-28 13:38:03.273785"
446,"2023-04-28 13:38:38.400915"
447,"2023-04-28 13:42:38.685231"
448,"2023-04-28 13:43:07.123325"
449,"2023-04-28 13:46:46.002292"
450,"2023-04-28 13:47:34.674070"
451,"2023-05-01 08:52:02.059744"
452,"2023-05-01 08:53:58.540360"
453,"2023-05-01 08:54:38.536924"
454,"2023-05-01 08:55:22.714293"
455,"2023-05-01 08:55:24.907663"
456,"2023-05-01 08:55:31.141051"
457,"2023-05-01 08:56:47.081230"
458,"2023-05-01 08:58:05.721378"
459,"2023-05-01 08:58:11.402785"
460,"2023-05-01 09:04:58.257307"
461,"2023-05-01 09:05:03.423863"
